EN,SV,PLURAL
AllowStaffToSetFinesVisibilityForGuarantor,AllowStaffToSetFinesVisibilityForGuarantor,AllowStaffToSetFinesVisibilityForGuarantor
AllowTooManyOverride,AllowTooManyOverride,AllowTooManyOverride
AlternateHoldingsField,AlternateHoldingsField,AlternateHoldingsField
AlternateHoldingsSeparator,AlternateHoldingsSeparator,AlternateHoldingsSeparator
AmazonAssocTag,AmazonAssocTag,AmazonAssocTag
AmazonCoverImages,AmazonCoverImages,AmazonCoverImages
AmazonLocale,AmazonLocale,AmazonLocale
AnonSuggestions,AnonSuggestions,AnonSuggestions
AnonymousPatron,AnonymousPatron,AnonymousPatron
ApplyFrameworkDefaults,ApplyFrameworkDefaults,ApplyFrameworkDefaults
ArticleRequests,ArticleRequests,ArticleRequests
ArticleRequestsDisclaimerText,ArticleRequestsDisclaimerText,ArticleRequestsDisclaimerText
ArticleRequestsLinkControl,ArticleRequestsLinkControl,ArticleRequestsLinkControl
ArticleRequestsMandatoryFields,ArticleRequestsMandatoryFields,ArticleRequestsMandatoryFields
ArticleRequestsMandatoryFieldsItemsOnly,ArticleRequestsMandatoryFieldsItemsOnly,ArticleRequestsMandatoryFieldsItemsOnly
ArticleRequestsMandatoryFieldsRecordOnly,ArticleRequestsMandatoryFieldsRecordOnly,ArticleRequestsMandatoryFieldsRecordOnly
ArticleRequestsOpacHostRedirection,ArticleRequestsOpacHostRedirection,ArticleRequestsOpacHostRedirection
ArticleRequestsSupportedFormats,ArticleRequestsSupportedFormats,ArticleRequestsSupportedFormats
AudioAlerts,AudioAlerts,AudioAlerts
AudioBook,AudioBook,AudioBook
AuthDisplayHierarchy,AuthDisplayHierarchy,AuthDisplayHierarchy
AuthFailureLog,AuthFailureLog,AuthFailureLog
AuthSuccessLog,AuthSuccessLog,AuthSuccessLog
AuthTraining,AuthTraining,AuthTraining
AuthorLinkSortBy,AuthorLinkSortBy,AuthorLinkSortBy
AuthorLinkSortOrder,AuthorLinkSortOrder,AuthorLinkSortOrder
AuthoritiesLog,AuthoritiesLog,AuthoritiesLog
AuthorityControlledIndicators,AuthorityControlledIndicators,AuthorityControlledIndicators
AuthorityFile,AuthorityFile,AuthorityFile
AuthorityMergeLimit,AuthorityMergeLimit,AuthorityMergeLimit
AuthorityMergeMode,AuthorityMergeMode,AuthorityMergeMode
AuthoritySeparator,AuthoritySeparator,AuthoritySeparator
AuthorityXSLTOpacDetailsDisplay,AuthorityXSLTOpacDetailsDisplay,AuthorityXSLTOpacDetailsDisplay
AuthorityXSLTOpacResultsDisplay,AuthorityXSLTOpacResultsDisplay,AuthorityXSLTOpacResultsDisplay
AuthorityXSLTResultsDisplay,AuthorityXSLTResultsDisplay,AuthorityXSLTResultsDisplay
AuthorizationServer,AuthorizationServer,AuthorizationServer
AuthorizedIPs,AuthorizedIPs,AuthorizedIPs
AutoApprovePatronProfileSettings,AutoApprovePatronProfileSettings,AutoApprovePatronProfileSettings
AutoClaimReturnStatusOnCheckin,AutoClaimReturnStatusOnCheckin,AutoClaimReturnStatusOnCheckin
AutoClaimReturnStatusOnCheckout,AutoClaimReturnStatusOnCheckout,AutoClaimReturnStatusOnCheckout
AutoCreateAuthorites,AutoCreateAuthorites,AutoCreateAuthorites
AutoCreateAuthorities,AutoCreateAuthorities,AutoCreateAuthorities
AutoCreditNumber,AutoCreditNumber,AutoCreditNumber
AutoEmailNewUser,AutoEmailNewUser,AutoEmailNewUser
AutoLinkBiblios,AutoLinkBiblios,AutoLinkBiblios
AutoLocation,AutoLocation,AutoLocation
AutoRemoveOverduesRestrictions,AutoRemoveOverduesRestrictions,AutoRemoveOverduesRestrictions
AutoRenewalNotices,AutoRenewalNotices,AutoRenewalNotices
AutoResumeSuspendedHolds,AutoResumeSuspendedHolds,AutoResumeSuspendedHolds
AutoReturnCheckedOutItems,AutoReturnCheckedOutItems,AutoReturnCheckedOutItems
AutoSelfCheckAllowed,AutoSelfCheckAllowed,AutoSelfCheckAllowed
AutoSelfCheckID,AutoSelfCheckID,AutoSelfCheckID
AutoSelfCheckPass,AutoSelfCheckPass,AutoSelfCheckPass
AutoShareWithMana,AutoShareWithMana,AutoShareWithMana
AutoSwitchPatron,AutoSwitchPatron,AutoSwitchPatron
AutoUpdateSets,AutoUpdateSets,AutoUpdateSets
AutoUpdateSetsEmbedItemData,AutoUpdateSetsEmbedItemData,AutoUpdateSetsEmbedItemData
AutomaticCheckinAutoFill,AutomaticCheckinAutoFill,AutomaticCheckinAutoFill
AutomaticConfirmTransfer,AutomaticConfirmTransfer,AutomaticConfirmTransfer
AutomaticItemReturn,AutomaticItemReturn,AutomaticItemReturn
BASEBALL,BASEBALL,BASEBALL
BASIC,BASIC,BASIC
BBB,BBB,BBB
BCC,BCC,BCC
BE,BE,BE
BEEN,BEEN,BEEN
BEFORE,BEFORE,BEFORE
BEING,BEING,BEING
BGF,BGF,BGF
BIB,BIB,BIB
BIBLIOGRAPHY,BIBLIOGRAPHY,BIBLIOGRAPHY
BIBLIONUMBER,BIBLIONUMBER,BIBLIONUMBER
BIBTEX,BIBTEX,BIBTEX
BINDING,BINDING,BINDING
BK,BK,BK
BKS,BKS,BKS
BLDSS,BLDSS,BLDSS
BML,BML,BML
BNB,BNB,BNB
BOOK,BOOK,BOOK
BOOKCD,BOOKCD,BOOKCD
BOOKS,BOOKS,BOOKS
BOR,BOR,BOR
BRANCHCODE,BRANCHCODE,BRANCHCODE
BRLTTY,BRLTTY,BRLTTY
BSELL,BSELL,BSELL
BT,BT,BT
BTJ,BTJ,BTJ
BUT,BUT,BUT
BY,BY,BY
BakerTaylorBookstoreURL,BakerTaylorBookstoreURL,BakerTaylorBookstoreURL
BakerTaylorEnabled,BakerTaylorEnabled,BakerTaylorEnabled
BakerTaylorPassword,BakerTaylorPassword,BakerTaylorPassword
BakerTaylorUsername,BakerTaylorUsername,BakerTaylorUsername
BarcodeSeparators,BarcodeSeparators,BarcodeSeparators
BasketConfirmations,BasketConfirmations,BasketConfirmations
BatchCheckouts,BatchCheckouts,BatchCheckouts
BatchCheckoutsValidCategories,BatchCheckoutsValidCategories,BatchCheckoutsValidCategories
BiC,BiC,BiC
BibTeX,BibTeX,BibTeX
BibTex,BibTex,BibTex
BiblioDefaultView,BiblioDefaultView,BiblioDefaultView
BiblioItemtypeInfo,BiblioItemtypeInfo,BiblioItemtypeInfo
BibtexExportAdditionalFields,BibtexExportAdditionalFields,BibtexExportAdditionalFields
BlockExpiredPatronOpacActions,BlockExpiredPatronOpacActions,BlockExpiredPatronOpacActions
BlockReturnOfLostItems,BlockReturnOfLostItems,BlockReturnOfLostItems
BlockReturnOfWithdrawnItems,BlockReturnOfWithdrawnItems,BlockReturnOfWithdrawnItems
BorrowerMandatoryField,BorrowerMandatoryField,BorrowerMandatoryField
BorrowerRenewalPeriodBase,BorrowerRenewalPeriodBase,BorrowerRenewalPeriodBase
BorrowerUnwantedField,BorrowerUnwantedField,BorrowerUnwantedField
BorrowersLog,BorrowersLog,BorrowersLog
BorrowersTitles,BorrowersTitles,BorrowersTitles
BranchTransferLimitsType,BranchTransferLimitsType,BranchTransferLimitsType
BrowseResultSelection,BrowseResultSelection,BrowseResultSelection
BundleLostValue,BundleLostValue,BundleLostValue
BundleNotLoanValue,BundleNotLoanValue,BundleNotLoanValue
ByWater,ByWater,ByWater
ByWaterSolutions,ByWaterSolutions,ByWaterSolutions
CA,CA,CA
CALL,CALL,CALL
CANCEL,CANCEL,CANCEL
CANCELLATION,CANCELLATION,CANCELLATION
CANCREQ,CANCREQ,CANCREQ
CAND,CAND,CAND
CART,CART,CART
CAS,CAS,CAS
CASH,CASH,CASH
CAT,CAT,CAT
CATALOG,CATALOG,CATALOG
CATALOGING,CATALOGING,CATALOGING
CATALOGUING,CATALOGUING,CATALOGUING
CCC,CCC,CCC
CCL,CCL,CCL
CCLR,CCLR,CCLR
CCODE,CCODE,CCODE
CD,CD,CD
CDROM,CDROM,CDROM
CDs,CDs,CDs
CF,CF,CF
CH,CH,CH
CHANGE,CHANGE,CHANGE
CHECKIN,CHECKIN,CHECKIN
