EN,SV,PLURAL
creating a new identity provider,creating a new identity provider,creating a new identity provider
identity provider,identity provider,identity provider
manage\_search\_targets permission,manage\_search\_targets permission,manage\_search\_targets permission
manage\_smtp\_servers permission,manage\_smtp\_servers permission,manage\_smtp\_servers permission
library's details,library's details,library's details
manage\_didyoumean permission,manage\_didyoumean permission,manage\_didyoumean permission
authorities,authorities,authorities
manage\_column\_config permission,manage\_column\_config permission,manage\_column\_config permission
Funds table on the main acquisition page,Funds table on the main acquisition page,Funds table on the main acquisition page
Basket summary,Basket summary,Basket summary
Order search results,Order search results,Order search results
Late orders,Late orders,Late orders
Suggestions,Suggestions,Suggestions
Patron categories,Patron categories,Patron categories
Cities,Cities,Cities
Currencies,Currencies,Currencies
Item types,Item types,Item types
Libraries,Libraries,Libraries
Item bundles,Item bundles,Item bundles
SeparateHoldings,SeparateHoldings,SeparateHoldings
Item table above edit item form,Item table above edit item form,Item table above edit item form
Catalog concern management,Catalog concern management,Catalog concern management
Z39.50 search results,Z39.50 search results,Z39.50 search results
Checkouts,Checkouts,Checkouts
Patron search results,Patron search results,Patron search results
List of holds on a bibliographic record,List of holds on a bibliographic record,List of holds on a bibliographic record
Holds awaiting pickup (holds with cancellation requests),Holds awaiting pickup (holds with cancellation requests),Holds awaiting pickup (holds with cancellation requests)
Holds awaiting pickup (holds waiting over X days),Holds awaiting pickup (holds waiting over X days),Holds awaiting pickup (holds waiting over X days)
Holds awaiting pickup (holds waiting),Holds awaiting pickup (holds waiting),Holds awaiting pickup (holds waiting)
Hold ratios,Hold ratios,Hold ratios
Overdues report,Overdues report,Overdues report
printing the summary,printing the summary,printing the summary
Checkins,Checkins,Checkins
Holds queue,Holds queue,Holds queue
Courses,Courses,Courses
Reserves,Reserves,Reserves
Agreements,Agreements,Agreements
E-holdings packages,E-holdings packages,E-holdings packages
E-holdings titles,E-holdings titles,E-holdings titles
Licenses,Licenses,Licenses
Requests,Requests,Requests
Patron checkout history,Patron checkout history,Patron checkout history
Accounting > Transactions,Accounting > Transactions,Accounting > Transactions
Holds history,Holds history,Holds history
Details > Holds,Details > Holds,Details > Holds
Details > Checkouts,Details > Checkouts,Details > Checkouts
Details > Relatives' checkouts,Details > Relatives' checkouts,Details > Relatives' checkouts
Patron lists,Patron lists,Patron lists
Accounting > Make a payment,Accounting > Make a payment,Accounting > Make a payment
Point of sale,Point of sale,Point of sale
Batch patron modification tool,Batch patron modification tool,Batch patron modification tool
Log viewer,Log viewer,Log viewer
MARC modification templates,MARC modification templates,MARC modification templates
Notices and slips,Notices and slips,Notices and slips
Stock rotation rotas,Stock rotation rotas,Stock rotation rotas
Stock rotation items,Stock rotation items,Stock rotation items
List of files in upload tool,List of files in upload tool,List of files in upload tool
Course reserves,Course reserves,Course reserves
Holdings/Items,Holdings/Items,Holdings/Items
Serials issues on subscription tab,Serials issues on subscription tab,Serials issues on subscription tab
Items lost,Items lost,Items lost
Orders by fund,Orders by fund,Orders by fund
Saved SQL reports,Saved SQL reports,Saved SQL reports
Acquisition details,Acquisition details,Acquisition details
AudioAlerts,AudioAlerts,AudioAlerts
manage\_audio\_alerts permission,manage\_audio\_alerts permission,manage\_audio\_alerts permission
smssenddriver-label,smssenddriver-label,smssenddriver-label
manage\_sms\_providers permission,manage\_sms\_providers permission,manage\_sms\_providers permission
messaging tab,messaging tab,messaging tab
manage\_usage\_stats permission,manage\_usage\_stats permission,manage\_usage\_stats permission
manage\_mana permission,manage\_mana permission,manage\_mana permission
manage\_additional\_fields permission,manage\_additional\_fields permission,manage\_additional\_fields permission
creation of a new order basket,creation of a new order basket,creation of a new order basket
adding orders to a basket,adding orders to a basket,adding orders to a basket
invoice in the acquisitions module,invoice in the acquisitions module,invoice in the acquisitions module
editing an existing subscription,editing an existing subscription,editing an existing subscription
paying or writing off charges in a patron's account,paying or writing off charges in a patron's account,paying or writing off charges in a patron's account
creating manual credits,creating manual credits,creating manual credits
creating a manual invoice,creating a manual invoice,creating a manual invoice
create a new authorized value category,create a new authorized value category,create a new authorized value category
orders advanced search,orders advanced search,orders advanced search
invoice search,invoice search,invoice search
subscription advanced search,subscription advanced search,subscription advanced search
authorized values,authorized values,authorized values
adding a subscription,adding a subscription,adding a subscription
cataloging module,cataloging module,cataloging module
viewing the invoice,viewing the invoice,viewing the invoice
EnableAdvancedCatalogingEditor,EnableAdvancedCatalogingEditor,EnableAdvancedCatalogingEditor
manage\_keyboard\_shortcuts permission,manage\_keyboard\_shortcuts permission,manage\_keyboard\_shortcuts permission
OpacBrowseSearch system preference,OpacBrowseSearch system preference,OpacBrowseSearch system preference
Browse search,Browse search,Browse search
OPACdefaultSortField and OPACdefaultSortOrder,OPACdefaultSortField and OPACdefaultSortOrder,OPACdefaultSortField and OPACdefaultSortOrder
DisplayOPACiconsXSLT,DisplayOPACiconsXSLT,DisplayOPACiconsXSLT
enhanced content system preferences,enhanced content system preferences,enhanced content system preferences
Did you mean?,Did you mean?,Did you mean?
search results facets,search results facets,search results facets
XSLT material type icons,XSLT material type icons,XSLT material type icons
Serials module,Serials module,Serials module
adding the subscription,adding the subscription,adding the subscription
OPACAuthorIdentifiers system preference,OPACAuthorIdentifiers system preference,OPACAuthorIdentifiers system preference
suggestion,suggestion,suggestion
purchase suggestion form,purchase suggestion form,purchase suggestion form
OPACSearchForTitleIn,OPACSearchForTitleIn,OPACSearchForTitleIn
OpacExportOptions,OpacExportOptions,OpacExportOptions
problem report feature,problem report feature,problem report feature
OpacAuthorities,OpacAuthorities,OpacAuthorities
Lists and cart,Lists and cart,Lists and cart
OpacAllowPublicListCreation,OpacAllowPublicListCreation,OpacAllowPublicListCreation
cart,cart,cart
View the content of a list,View the content of a list,View the content of a list
adding items to it,adding items to it,adding items to it
'Lists' tab,'Lists' tab,'Lists' tab
OpacAllowSharingPrivateLists,OpacAllowSharingPrivateLists,OpacAllowSharingPrivateLists
TagsInputOnDetail,TagsInputOnDetail,TagsInputOnDetail
adding tags to titles,adding tags to titles,adding tags to titles
list,list,list
place a hold,place a hold,place a hold
add tags to selected titles,add tags to selected titles,add tags to selected titles
OPACHoldRequests,OPACHoldRequests,OPACHoldRequests
DisplayMultiPlaceHold,DisplayMultiPlaceHold,DisplayMultiPlaceHold
OPACShowHoldQueueDetails,OPACShowHoldQueueDetails,OPACShowHoldQueueDetails
OPACAllowUserToChooseBranch,OPACAllowUserToChooseBranch,OPACAllowUserToChooseBranch
library configuration,library configuration,library configuration
OPACAllowHoldDateInFuture,OPACAllowHoldDateInFuture,OPACAllowHoldDateInFuture
cancel\_expired\_holds.pl cronjob,cancel\_expired\_holds.pl cronjob,cancel\_expired\_holds.pl cronjob
AllowHoldItemTypeSelection,AllowHoldItemTypeSelection,AllowHoldItemTypeSelection
item groups,item groups,item groups
OpacHoldNotes,OpacHoldNotes,OpacHoldNotes
account page,account page,account page
setting up recalls,setting up recalls,setting up recalls
expire\_recalls.pl cronjob,expire\_recalls.pl cronjob,expire\_recalls.pl cronjob
TagsEnabled,TagsEnabled,TagsEnabled
TagsInputOnList,TagsInputOnList,TagsInputOnList
OPACComments,OPACComments,OPACComments
ShowReviewerPhoto,ShowReviewerPhoto,ShowReviewerPhoto
ShowReviewer,ShowReviewer,ShowReviewer
OpacShowRecentComments,OpacShowRecentComments,OpacShowRecentComments
RSS feeds cron job,RSS feeds cron job,RSS feeds cron job
RSS cron job,RSS cron job,RSS cron job
OpacUserJS system preference,OpacUserJS system preference,OpacUserJS system preference
CookieConsentedJS system preference,CookieConsentedJS system preference,CookieConsentedJS system preference
CookieConsent system preference,CookieConsent system preference,CookieConsent system preference
PatronSelfRegistration,PatronSelfRegistration,PatronSelfRegistration
PatronSelfRegistrationBorrowerMandatoryField,PatronSelfRegistrationBorrowerMandatoryField,PatronSelfRegistrationBorrowerMandatoryField
PatronSelfRegistrationVerifyByEmail,PatronSelfRegistrationVerifyByEmail,PatronSelfRegistrationVerifyByEmail
PatronSelfRegistrationPrefillForm,PatronSelfRegistrationPrefillForm,PatronSelfRegistrationPrefillForm
EmailPatronRegistrations,EmailPatronRegistrations,EmailPatronRegistrations
PatronSelfRegistrationDefaultCategory,PatronSelfRegistrationDefaultCategory,PatronSelfRegistrationDefaultCategory
opacuserlogin,opacuserlogin,opacuserlogin
account summary,account summary,account summary
OPACUserSummary,OPACUserSummary,OPACUserSummary
OPACShowSavings,OPACShowSavings,OPACShowSavings
NotifyPasswordChange,NotifyPasswordChange,NotifyPasswordChange
OPAC messages,OPAC messages,OPAC messages
OPAC notes,OPAC notes,OPAC notes
OpacMySummaryNote HTML customization location,OpacMySummaryNote HTML customization location,OpacMySummaryNote HTML customization location
OpacRenewalAllowed,OpacRenewalAllowed,OpacRenewalAllowed
OPACFineNoRenewals,OPACFineNoRenewals,OPACFineNoRenewals
maxoutstanding,maxoutstanding,maxoutstanding
AllowPatronToControlAutoRenewal,AllowPatronToControlAutoRenewal,AllowPatronToControlAutoRenewal
OPACMySummaryHTML,OPACMySummaryHTML,OPACMySummaryHTML
patron attribute,patron attribute,patron attribute
patron's record set the value,patron's record set the value,patron's record set the value
AllowCheckoutNotes,AllowCheckoutNotes,AllowCheckoutNotes
see and manage checkout notes,see and manage checkout notes,see and manage checkout notes
their privacy,their privacy,their privacy
AllowStaffToSetCheckoutsVisibilityForGuarantor,AllowStaffToSetCheckoutsVisibilityForGuarantor,AllowStaffToSetCheckoutsVisibilityForGuarantor
OPACFinesTab,OPACFinesTab,OPACFinesTab
AllowStaffToSetFinesVisibilityForGuarantor,AllowStaffToSetFinesVisibilityForGuarantor,AllowStaffToSetFinesVisibilityForGuarantor
clubs,clubs,clubs
enroll in clubs,enroll in clubs,enroll in clubs
SuspendHoldsOpac,SuspendHoldsOpac,SuspendHoldsOpac
AutoResumeSuspendedHolds,AutoResumeSuspendedHolds,AutoResumeSuspendedHolds
waiting hold cancellation policy,waiting hold cancellation policy,waiting hold cancellation policy
OPACAllowUserToChangeBranch,OPACAllowUserToChangeBranch,OPACAllowUserToChangeBranch
allows recalls,allows recalls,allows recalls
flagged your patron's account,flagged your patron's account,flagged your patron's account
OPACPatronDetails,OPACPatronDetails,OPACPatronDetails
EnablePayPalOpacPayments,EnablePayPalOpacPayments,EnablePayPalOpacPayments
PatronSelfModificationBorrowerUnwantedField,PatronSelfModificationBorrowerUnwantedField,PatronSelfModificationBorrowerUnwantedField
PatronSelfModificationMandatoryField,PatronSelfModificationMandatoryField,PatronSelfModificationMandatoryField
AutoApprovePatronProfileSettings,AutoApprovePatronProfileSettings,AutoApprovePatronProfileSettings
PrivacyPolicyConsent,PrivacyPolicyConsent,PrivacyPolicyConsent
PrivacyPolicyURL,PrivacyPolicyURL,PrivacyPolicyURL
EnableOpacSearchHistory,EnableOpacSearchHistory,EnableOpacSearchHistory
opacreadinghistory,opacreadinghistory,opacreadinghistory
'Privacy' tab,'Privacy' tab,'Privacy' tab
Your reading history,Your reading history,Your reading history
Circulation History,Circulation History,Circulation History
AnonymousPatron,AnonymousPatron,AnonymousPatron
AllowPatronToSetCheckoutsVisibilityForGuarantor,AllowPatronToSetCheckoutsVisibilityForGuarantor,AllowPatronToSetCheckoutsVisibilityForGuarantor
OPACHoldsHistory,OPACHoldsHistory,OPACHoldsHistory
OPACViewOthersSuggestions,OPACViewOthersSuggestions,OPACViewOthersSuggestions
EnhancedMessagingPreferencesOPAC,EnhancedMessagingPreferencesOPAC,EnhancedMessagingPreferencesOPAC
SMSSendDriver,SMSSendDriver,SMSSendDriver
cellular providers entered in administration,cellular providers entered in administration,cellular providers entered in administration
i-tiva Talking Tech,i-tiva Talking Tech,i-tiva Talking Tech
AutoRenewalNotices,AutoRenewalNotices,AutoRenewalNotices
virtualshelves,virtualshelves,virtualshelves
create or edit their own private lists,create or edit their own private lists,create or edit their own private lists
bibliographic record,bibliographic record,bibliographic record
useDischarge,useDischarge,useDischarge
discharge is approved by library staff,discharge is approved by library staff,discharge is approved by library staff
serial routing lists,serial routing lists,serial routing lists
HTML customization display location,HTML customization display location,HTML customization display location
curbside pickup,curbside pickup,curbside pickup
curbside pickup configuration,curbside pickup configuration,curbside pickup configuration
Your purchase suggestions,Your purchase suggestions,Your purchase suggestions
OPACSuggestionMandatoryFields,OPACSuggestionMandatoryFields,OPACSuggestionMandatoryFields
OPACSuggestionUnwantedFields,OPACSuggestionUnwantedFields,OPACSuggestionUnwantedFields
OPACSuggestionAutoFill,OPACSuggestionAutoFill,OPACSuggestionAutoFill
authorized value list,authorized value list,authorized value list
'OpacLibraryInfo' HTML customizations,'OpacLibraryInfo' HTML customizations,'OpacLibraryInfo' HTML customizations
OPACReportProblem,OPACReportProblem,OPACReportProblem
OPAC problem reports tool,OPAC problem reports tool,OPAC problem reports tool
self checkout module,self checkout module,self checkout module
OpacTrustedCheckout,OpacTrustedCheckout,OpacTrustedCheckout
summary,summary,summary
UseCourseReserves,UseCourseReserves,UseCourseReserves
added as patrons,added as patrons,added as patrons
collection codes (CCODE),collection codes (CCODE),collection codes (CCODE)
shelving locations (LOC),shelving locations (LOC),shelving locations (LOC)
circulation and fine rules,circulation and fine rules,circulation and fine rules
manage\_courses permission,manage\_courses permission,manage\_courses permission
add\_reserves permission,add\_reserves permission,add\_reserves permission
PreservationModule system preference,PreservationModule system preference,PreservationModule system preference
add the statuses,add the statuses,add the statuses
preservation permission,preservation permission,preservation permission
PreservationNotForLoanWaitingListIn,PreservationNotForLoanWaitingListIn,PreservationNotForLoanWaitingListIn
PreservationNotForLoanDefaultTrainIn,PreservationNotForLoanDefaultTrainIn,PreservationNotForLoanDefaultTrainIn
create a new notice,create a new notice,create a new notice
copying the PRES_TRAIN_ITEM notice,copying the PRES_TRAIN_ITEM notice,copying the PRES_TRAIN_ITEM notice
preservation settings,preservation settings,preservation settings
add your items to a train,add your items to a train,add your items to a train
Preservation module settings,Preservation module settings,Preservation module settings
from the Trains page,from the Trains page,from the Trains page
from the Waiting list page,from the Waiting list page,from the Waiting list page
add your items to the waiting list,add your items to the waiting list,add your items to the waiting list
adding them to the waiting list,adding them to the waiting list,adding them to the waiting list
Add item,Add item,Add item
create the train,create the train,create the train
processing,processing,processing
processing's default settings,processing's default settings,processing's default settings
edit\_public\_list\_contents permission,edit\_public\_list\_contents permission,edit\_public\_list\_contents permission
catalogue permission,catalogue permission,catalogue permission
edit\_public\_lists permission,edit\_public\_lists permission,edit\_public\_lists permission
delete\_public\_lists permission,delete\_public\_lists permission,delete\_public\_lists permission
CSV profiles,CSV profiles,CSV profiles
opacbookbag,opacbookbag,opacbookbag
intranetbookbag,intranetbookbag,intranetbookbag
modify via Cataloging,modify via Cataloging,modify via Cataloging
Preservation module setting,Preservation module setting,Preservation module setting
AdvancedSearchTypes,AdvancedSearchTypes,AdvancedSearchTypes
AuthorityXSLTOpacResultsDisplay,AuthorityXSLTOpacResultsDisplay,AuthorityXSLTOpacResultsDisplay
AuthorityXSLTResultsDisplay,AuthorityXSLTResultsDisplay,AuthorityXSLTResultsDisplay
DisplayIconsXSLT,DisplayIconsXSLT,DisplayIconsXSLT
news tool,news tool,news tool
library limit on the advanced search page,library limit on the advanced search page,library limit on the advanced search page
OPACURLOpenInNewWindow,OPACURLOpenInNewWindow,OPACURLOpenInNewWindow
Display856uAsImage,Display856uAsImage,Display856uAsImage
OpacMaintenance,OpacMaintenance,OpacMaintenance
OPACShowMusicalInscripts,OPACShowMusicalInscripts,OPACShowMusicalInscripts
OpacItemLocation,OpacItemLocation,OpacItemLocation
Reference_NFL_Statuses,Reference_NFL_Statuses,Reference_NFL_Statuses
OPACResultsMaxItemsUnavailable,OPACResultsMaxItemsUnavailable,OPACResultsMaxItemsUnavailable
OPACResultsUnavailableGroupingBy,OPACResultsUnavailableGroupingBy,OPACResultsUnavailableGroupingBy
OPACPlayMusicalInscripts,OPACPlayMusicalInscripts,OPACPlayMusicalInscripts
OpacAdditionalStylesheet,OpacAdditionalStylesheet,OpacAdditionalStylesheet
opaclayoutstylesheet,opaclayoutstylesheet,opaclayoutstylesheet
library form,library form,library form
PassItemMarcToXSLT,PassItemMarcToXSLT,PassItemMarcToXSLT
search results,search results,search results
NOT\_LOAN authorized value category,NOT\_LOAN authorized value category,NOT\_LOAN authorized value category
basket is closed,basket is closed,basket is closed
OPACAuthorIdentifiersAndInformation,OPACAuthorIdentifiersAndInformation,OPACAuthorIdentifiersAndInformation
OPACAuthorIdentifiers,OPACAuthorIdentifiers,OPACAuthorIdentifiers
authority search,authority search,authority search
authorities browser cron job,authorities browser cron job,authorities browser cron job
SearchEngine system preference,SearchEngine system preference,SearchEngine system preference
concern reporting feature in the OPAC,concern reporting feature in the OPAC,concern reporting feature in the OPAC
Table setting,Table setting,Table setting
patronimages,patronimages,patronimages
'Report a problem' feature on the OPAC,'Report a problem' feature on the OPAC,'Report a problem' feature on the OPAC
OPAC section,OPAC section,OPAC section
summary box on OPAC homepage,summary box on OPAC homepage,summary box on OPAC homepage
'your summary' page,'your summary' page,'your summary' page
checkout history page,checkout history page,checkout history page
checkout histories are anonymized,checkout histories are anonymized,checkout histories are anonymized
cleanup\_database script,cleanup\_database script,cleanup\_database script
quote of the day editor,quote of the day editor,quote of the day editor
comments tool,comments tool,comments tool
OPACBaseURL,OPACBaseURL,OPACBaseURL
individual patron categories,individual patron categories,individual patron categories
Managing lists,Managing lists,Managing lists
AccountAutoReconcile,AccountAutoReconcile,AccountAutoReconcile
renew items for patrons,renew items for patrons,renew items for patrons
RESTAPIRenewalBranch,RESTAPIRenewalBranch,RESTAPIRenewalBranch
checkouts via the OPAC,checkouts via the OPAC,checkouts via the OPAC
cleanup\_database.pl cronjob,cleanup\_database.pl cronjob,cleanup\_database.pl cronjob
private list share invites,private list share invites,private list share invites
misc/cronjobs/cleanup\_database.pl cronjob,misc/cronjobs/cleanup\_database.pl cronjob,misc/cronjobs/cleanup\_database.pl cronjob
create a patron,create a patron,create a patron
holds history on the OPAC,holds history on the OPAC,holds history on the OPAC
patrons categories,patrons categories,patrons categories
StoreLastBorrower,StoreLastBorrower,StoreLastBorrower
circulation history,circulation history,circulation history
chosen to never have their reading history kept,chosen to never have their reading history kept,chosen to never have their reading history kept
anonymize circulation histories,anonymize circulation histories,anonymize circulation histories
Libraries settings,Libraries settings,Libraries settings
self registration,self registration,self registration
circulation rights,circulation rights,circulation rights
patron registration form in the OPAC,patron registration form in the OPAC,patron registration form in the OPAC
cleanup\_database.pl script,cleanup\_database.pl script,cleanup\_database.pl script
PatronSelfRegistrationExpireTemporaryAccountsDelay,PatronSelfRegistrationExpireTemporaryAccountsDelay,PatronSelfRegistrationExpireTemporaryAccountsDelay
cleanup\_database cron job,cleanup\_database cron job,cleanup\_database cron job
codes,codes,codes
PatronSelfRegistrationConfirmEmail,PatronSelfRegistrationConfirmEmail,PatronSelfRegistrationConfirmEmail
purchase suggestions,purchase suggestions,purchase suggestions
anonymous suggestions,anonymous suggestions,anonymous suggestions
making suggestions in the name of the patron in the staff interface,making suggestions in the name of the patron in the staff interface,making suggestions in the name of the patron in the staff interface
allowing patrons to make purchase suggestions,allowing patrons to make purchase suggestions,allowing patrons to make purchase suggestions
make purchase suggestions from the OPAC,make purchase suggestions from the OPAC,make purchase suggestions from the OPAC
purchase suggestion,purchase suggestion,purchase suggestion
AnonSuggestions,AnonSuggestions,AnonSuggestions
E-Resource management (ERM) module,E-Resource management (ERM) module,E-Resource management (ERM) module
erm permission,erm permission,erm permission
ERMProviderEbscoCustomerID,ERMProviderEbscoCustomerID,ERMProviderEbscoCustomerID
eHoldings,eHoldings,eHoldings
ERMProviderEbscoApiKey,ERMProviderEbscoApiKey,ERMProviderEbscoApiKey
Log viewer tool,Log viewer tool,Log viewer tool
logged action,logged action,logged action
log viewer tool,log viewer tool,log viewer tool
DumpTemplateVarsIntranet,DumpTemplateVarsIntranet,DumpTemplateVarsIntranet
DumpTemplateVarsOpac,DumpTemplateVarsOpac,DumpTemplateVarsOpac
new basket was created,new basket was created,new basket was created
basket was closed,basket was closed,basket was closed
fund was created,fund was created,fund was created
order was added to a basket,order was added to a basket,order was added to a basket
basket was edited,basket was edited,basket was edited
order was received,order was received,order was received
authority record,authority record,authority record
new patron was added,new patron was added,new patron was added
patron's account was deleted,patron's account was deleted,patron's account was deleted
patron's account was edited,patron's account was edited,patron's account was edited
patron's membership was renewed,patron's membership was renewed,patron's membership was renewed
late order,late order,late order
late serial issue,late serial issue,late serial issue
cron job,cron job,cron job
charges,charges,charges
payment was voided,payment was voided,payment was voided
holds,holds,holds
confirmed and put aside to await pickup,confirmed and put aside to await pickup,confirmed and put aside to await pickup
ILL requests,ILL requests,ILL requests
an item is checked out,an item is checked out,an item is checked out
news item,news item,news item
notice or slip templates,notice or slip templates,notice or slip templates
new notice or slip template was created,new notice or slip template was created,new notice or slip template was created
checkout is renewed,checkout is renewed,checkout is renewed
reports,reports,reports
item is checked in,item is checked in,item is checked in
serial subscription was created,serial subscription was created,serial subscription was created
serial subscription was edited,serial subscription was edited,serial subscription was edited
serial subscription was renewed,serial subscription was renewed,serial subscription was renewed
Mana KB configuration,Mana KB configuration,Mana KB configuration
OAI-PMH:AutoUpdateSets,OAI-PMH:AutoUpdateSets,OAI-PMH:AutoUpdateSets
sample conf file,sample conf file,sample conf file
OpacRenewalBranch,OpacRenewalBranch,OpacRenewalBranch
IntranetAddMastheadLibraryPulldown,IntranetAddMastheadLibraryPulldown,IntranetAddMastheadLibraryPulldown
library group,library group,library group
return the results,return the results,return the results
EnableSearchHistory,EnableSearchHistory,EnableSearchHistory
search history,search history,search history
expandedSearchOption,expandedSearchOption,expandedSearchOption
LOC authorized values,LOC authorized values,LOC authorized values
item location field,item location field,item location field
OpacAdvancedSearchTypes,OpacAdvancedSearchTypes,OpacAdvancedSearchTypes
OpacAdvSearchMoreOptions,OpacAdvSearchMoreOptions,OpacAdvSearchMoreOptions
OpacAdvSearchOptions,OpacAdvSearchOptions,OpacAdvSearchOptions
AdvancedSearchLanguages,AdvancedSearchLanguages,AdvancedSearchLanguages
SearchLimitLibrary,SearchLimitLibrary,SearchLimitLibrary
defaultSortField and defaultSortOrder,defaultSortField and defaultSortOrder,defaultSortField and defaultSortOrder
item search fields,item search fields,item search fields
batch item deletion tool,batch item deletion tool,batch item deletion tool
RedirectToSoleResult,RedirectToSoleResult,RedirectToSoleResult
save the search as a search filter,save the search as a search filter,save the search as a search filter
StaffHighlightedWords,StaffHighlightedWords,StaffHighlightedWords
Restricted,Restricted,Restricted
Lost,Lost,Lost
Withdrawn,Withdrawn,Withdrawn
Damaged,Damaged,Damaged
Not for loan,Not for loan,Not for loan
MaxSearchResultsItemsPerRecordStatusCheck,MaxSearchResultsItemsPerRecordStatusCheck,MaxSearchResultsItemsPerRecordStatusCheck
maxItemsInSearchResults,maxItemsInSearchResults,maxItemsInSearchResults
Enhanced content system preferences,Enhanced content system preferences,Enhanced content system preferences
DisplayLibraryFacets,DisplayLibraryFacets,DisplayLibraryFacets
search engine configuration page,search engine configuration page,search engine configuration page
maxRecordsForFacets,maxRecordsForFacets,maxRecordsForFacets
displayFacetCount,displayFacetCount,displayFacetCount
FacetMaxCount,FacetMaxCount,FacetMaxCount
FacetLabelTruncationLength,FacetLabelTruncationLength,FacetLabelTruncationLength
FacetOrder,FacetOrder,FacetOrder
UNIMARCAuthorsFacetsSeparator,UNIMARCAuthorsFacetsSeparator,UNIMARCAuthorsFacetsSeparator
search filters,search filters,search filters
BrowseResultSelection,BrowseResultSelection,BrowseResultSelection
sorting section,sorting section,sorting section
'Holds' tab,'Holds' tab,'Holds' tab
'Article requests' tab,'Article requests' tab,'Article requests' tab
basic search,basic search,basic search
advanced search,advanced search,advanced search
search filter administration section,search filter administration section,search filter administration section
search filter administration page,search filter administration page,search filter administration page
Koha Indexing Chart,Koha Indexing Chart,Koha Indexing Chart
manage\_sysprefs permission,manage\_sysprefs permission,manage\_sysprefs permission
currencies and exchange rates,currencies and exchange rates,currencies and exchange rates
OpacHighlightedWords,OpacHighlightedWords,OpacHighlightedWords
inventory tool,inventory tool,inventory tool
Batch item modification,Batch item modification,Batch item modification
Batch item deletion,Batch item deletion,Batch item deletion
batch item delete tool,batch item delete tool,batch item delete tool
MaxItemsToProcessForBatchMod,MaxItemsToProcessForBatchMod,MaxItemsToProcessForBatchMod
Patron card creator,Patron card creator,Patron card creator
patron card creator tool,patron card creator tool,patron card creator tool
reports module,reports module,reports module
upload tool,upload tool,upload tool
receiving a new issue,receiving a new issue,receiving a new issue
creating the serial subscription,creating the serial subscription,creating the serial subscription
creating or editing serial subscriptions,creating or editing serial subscriptions,creating or editing serial subscriptions
purchase suggestions page in the acquisitions module,purchase suggestions page in the acquisitions module,purchase suggestions page in the acquisitions module
clicking the 'renew' option on a serial subscription,clicking the 'renew' option on a serial subscription,clicking the 'renew' option on a serial subscription
routing list feature,routing list feature,routing list feature
routing list information,routing list information,routing list information
sending late serial issues claims,sending late serial issues claims,sending late serial issues claims
serials module,serials module,serials module
batch checkout,batch checkout,batch checkout
BatchCheckoutsValidCategories,BatchCheckoutsValidCategories,BatchCheckoutsValidCategories
SCOBatchCheckoutsValidCategories,SCOBatchCheckoutsValidCategories,SCOBatchCheckoutsValidCategories
BatchCheckouts,BatchCheckouts,BatchCheckouts
TransfersBlockCirc,TransfersBlockCirc,TransfersBlockCirc
CalculateFinesOnReturn,CalculateFinesOnReturn,CalculateFinesOnReturn
SpecifyReturnDate,SpecifyReturnDate,SpecifyReturnDate
fines cron job,fines cron job,fines cron job
finesMode,finesMode,finesMode
circulation page,circulation page,circulation page
HoldsAutoFill,HoldsAutoFill,HoldsAutoFill
NOT\_LOAN authorized values,NOT\_LOAN authorized values,NOT\_LOAN authorized values
AutomaticConfirmTransfer,AutomaticConfirmTransfer,AutomaticConfirmTransfer
NOT_LOAN authorized value,NOT_LOAN authorized value,NOT_LOAN authorized value
cart\_to\_shelf cron job,cart\_to\_shelf cron job,cart\_to\_shelf cron job
AgeRestrictionOverride,AgeRestrictionOverride,AgeRestrictionOverride
Koha to MARC Mapping,Koha to MARC Mapping,Koha to MARC Mapping
AgeRestrictionMarker,AgeRestrictionMarker,AgeRestrictionMarker
circulation and fines policies,circulation and fines policies,circulation and fines policies
return policy rule,return policy rule,return policy rule
DefaultLongOverdueSkipPatronCategories,DefaultLongOverdueSkipPatronCategories,DefaultLongOverdueSkipPatronCategories
DefaultLongOverdueLostValue and DefaultLongOverdueDays,DefaultLongOverdueLostValue and DefaultLongOverdueDays,DefaultLongOverdueLostValue and DefaultLongOverdueDays
longoverdue cron job,longoverdue cron job,longoverdue cron job
DefaultLongOverduePatronCategories,DefaultLongOverduePatronCategories,DefaultLongOverduePatronCategories
longoverdue cron,longoverdue cron,longoverdue cron
checking out,checking out,checking out
currency,currency,currency
creating or editing a debit type,creating or editing a debit type,creating or editing a debit type
AllFinesNeedOverride,AllFinesNeedOverride,AllFinesNeedOverride
AllowFineOverride,AllowFineOverride,AllowFineOverride
notice template,notice template,notice template
overdue\_notices.pl cronjob,overdue\_notices.pl cronjob,overdue\_notices.pl cronjob
RenewalPeriodBase,RenewalPeriodBase,RenewalPeriodBase
new notice,new notice,new notice
transferred between library branches,transferred between library branches,transferred between library branches
Transfers to receive,Transfers to receive,Transfers to receive
Calendar,Calendar,Calendar
Transport cost matrix,Transport cost matrix,Transport cost matrix
curbside pickup module,curbside pickup module,curbside pickup module
default lost item fee refund on return policy,default lost item fee refund on return policy,default lost item fee refund on return policy
placing a hold in the staff interface,placing a hold in the staff interface,placing a hold in the staff interface
placing a hold in the OPAC,placing a hold in the OPAC,placing a hold in the OPAC
automatic check-in,automatic check-in,automatic check-in
automatic_checkin.pl cronjob,automatic_checkin.pl cronjob,automatic_checkin.pl cronjob
