EN,SV,PLURAL
managing plugins section,managing plugins section,managing plugins section
Circulating ILL materials,Circulating ILL materials,Circulating ILL materials
View ILL requests list,View ILL requests list,View ILL requests list
authorized value,authorized value,authorized value
ILL module,ILL module,ILL module
HTML customization location,HTML customization location,HTML customization location
creating an ILL request from the OPAC,creating an ILL request from the OPAC,creating an ILL request from the OPAC
ILL requests placed by patrons on the OPAC,ILL requests placed by patrons on the OPAC,ILL requests placed by patrons on the OPAC
manage all ILL requests,manage all ILL requests,manage all ILL requests
send requests to partners,send requests to partners,send requests to partners
library's,library's,library's
ILL email notifications,ILL email notifications,ILL email notifications
letter codes,letter codes,letter codes
OPAC requests,OPAC requests,OPAC requests
plugins,plugins,plugins
submits an ILL request,submits an ILL request,submits an ILL request
manual invoicing,manual invoicing,manual invoicing
EnablePointOfSale,EnablePointOfSale,EnablePointOfSale
UseCashRegisters,UseCashRegisters,UseCashRegisters
configure your cash registers,configure your cash registers,configure your cash registers
takepayment permission,takepayment permission,takepayment permission
PAYMENT\_TYPE authorized value,PAYMENT\_TYPE authorized value,PAYMENT\_TYPE authorized value
OPACXSLTDetailsDisplay,OPACXSLTDetailsDisplay,OPACXSLTDetailsDisplay
OPACXSLTListsDisplay,OPACXSLTListsDisplay,OPACXSLTListsDisplay
OPACXSLTResultsDisplay,OPACXSLTResultsDisplay,OPACXSLTResultsDisplay
XSLTDetailsDisplay,XSLTDetailsDisplay,XSLTDetailsDisplay
XSLTListsDisplay,XSLTListsDisplay,XSLTListsDisplay
XSLTResultsDisplay,XSLTResultsDisplay,XSLTResultsDisplay
ISBD,ISBD,ISBD
BiblioDefaultView,BiblioDefaultView,BiblioDefaultView
IntranetUserCSS,IntranetUserCSS,IntranetUserCSS
HTML customizations tool,HTML customizations tool,HTML customizations tool
HTML customizations,HTML customizations,HTML customizations
UseControlNumber,UseControlNumber,UseControlNumber
EasyAnalyticalRecords,EasyAnalyticalRecords,EasyAnalyticalRecords
ComponentSortOrder,ComponentSortOrder,ComponentSortOrder
ComponentSortField,ComponentSortField,ComponentSortField
autoControlNumber,autoControlNumber,autoControlNumber
record overlay rules,record overlay rules,record overlay rules
concern reporting feature in the staff interface,concern reporting feature in the staff interface,concern reporting feature in the staff interface
CatalogerEmails,CatalogerEmails,CatalogerEmails
OpacCatalogConcerns,OpacCatalogConcerns,OpacCatalogConcerns
CatalogConcerns,CatalogConcerns,CatalogConcerns
easy way of linking analytic entries to the host records,easy way of linking analytic entries to the host records,easy way of linking analytic entries to the host records
basic editor,basic editor,basic editor
advanced editor,advanced editor,advanced editor
authority frameworks,authority frameworks,authority frameworks
MARC Bibliographic Frameworks,MARC Bibliographic Frameworks,MARC Bibliographic Frameworks
add the field in the MARC bibliographic framework,add the field in the MARC bibliographic framework,add the field in the MARC bibliographic framework
circulation preferences > holds policy,circulation preferences > holds policy,circulation preferences > holds policy
EnableItemGroupHolds,EnableItemGroupHolds,EnableItemGroupHolds
LOC authorized value category,LOC authorized value category,LOC authorized value category
UpdateItemLocationOnCheckin,UpdateItemLocationOnCheckin,UpdateItemLocationOnCheckin
UpdateItemLocationOnCheckout,UpdateItemLocationOnCheckout,UpdateItemLocationOnCheckout
SubfieldsToUseWhenPrefill,SubfieldsToUseWhenPrefill,SubfieldsToUseWhenPrefill
cataloging bibliographic records,cataloging bibliographic records,cataloging bibliographic records
cataloging authority records,cataloging authority records,cataloging authority records
items\_batchmod\_restricted permission,items\_batchmod\_restricted permission,items\_batchmod\_restricted permission
batch item modification tool,batch item modification tool,batch item modification tool
edit\_items\_restricted permission,edit\_items\_restricted permission,edit\_items\_restricted permission
PrefillItem,PrefillItem,PrefillItem
Quick spine label creator tool,Quick spine label creator tool,Quick spine label creator tool
plugins section in the administration chapter,plugins section in the administration chapter,plugins section in the administration chapter
StaffInterfaceLanguages,StaffInterfaceLanguages,StaffInterfaceLanguages
